steps,mz,int,yes,no,R_yes,R_no
1,151,0,C=C1C=C/C(C(OC)=C1)=[O+]/C,2,COC1=C(C=C(C=C1)C[!])OC,
2,133,0,3,4,,
3,91,0,C=C1C=C[C+](CCC)C=C1,C=C1C=CC2=[O+]CCC2=C1,CCCC1=CC=C(C=C1)C[!],[!]CC1=CC2=C(C=C1)OCC2
4,105,0,C=C1C=C[C+](C)C=C1,5,CC1=CC=C(C=C1)C[!],
5,109,0,C=C1C=CC(C=C1)=[F+],6,FC1=CC=C(C=C1)C[!],
6,125,0,C=C1C=CC(C=C1)=[Cl+],7,ClC1=CC=C(C=C1)C[!],
7,91,0,C=C1C=C[C+]([H])C=C1,8,[!]CC1=CC=CC=C1,
8,107,0,9,12,,
9,149,0,C=C1C=C/C(C=C1)=[O+]/CCC,10,CCCOC1=CC=C(C=C1)C[!],
10,163,0,C=C1C=C/C(C=C1)=[O+]/CCCC,11,CCCCOC1=CC=C(C=C1)C[!],
11,135,0,C=C1C=C/C(C=C1)=[O+]/CC,C=C1C=CC(C=C1)=[OH+],CCOC1=CC=C(C=C1)C[!],OC1=CC=C(C=C1)C[!]
12,121,0,C=C1C=C/C(C=C1)=[O+]/C,13,COC1=CC=C(C=C1)C[!],
13,135,0,C=C1C=CC2=[O+]COC2=C1,unknown,[!]CC1=CC2=C(C=C1)OCO2,
